held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,44,60,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,44,60,0.1,0.1157124552164425,0.11067046623215002,0,109,263
attack_flow,ctid,44,60,0.2,0.1141048702893698,0.11046010623385741,0,109,263
attack_flow,ctid,44,60,0.3,0.11413519697130288,0.11020238723499169,0,109,263
attack_flow,ctid,44,60,0.4,0.11384412966518971,0.10643406449454762,0,109,263
attack_flow,ctid,44,60,0.5,0.1125223372208503,0.09879623591257738,0,109,263
attack_flow,ctid,44,60,0.6,0.11707055690570958,0.0953415404683295,0,109,263
attack_flow,ctid,44,60,0.7,0.11582407220614235,0.09203280212418656,0,109,263
attack_flow,ctid,44,60,0.8,0.11666761036339554,0.09192154909329014,0,109,263
attack_flow,ctid,44,60,0.9,0.11553572477527656,0.08780900613762649,0,109,263
attack_flow,ctid,44,60,1.0,0.11561321368912827,0.08838031970629541,0,109,263
attack_flow,ctid,44,80,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,44,80,0.1,0.1157124552164425,0.1108188557275156,0,109,263
attack_flow,ctid,44,80,0.2,0.1141048702893698,0.1117347328767194,0,109,263
attack_flow,ctid,44,80,0.3,0.11413519697130288,0.11140121760136927,0,109,263
attack_flow,ctid,44,80,0.4,0.11412486934701374,0.10858605579402217,0,109,263
attack_flow,ctid,44,80,0.5,0.11175778830528074,0.10379023169797141,0,109,263
attack_flow,ctid,44,80,0.6,0.1164851924725879,0.09694332651426621,0,109,263
attack_flow,ctid,44,80,0.7,0.11362100509329442,0.09636506835709469,0,109,263
attack_flow,ctid,44,80,0.8,0.11505581808652546,0.0946124686920777,0,109,263
attack_flow,ctid,44,80,0.9,0.12153363016858247,0.09256266806201277,0,109,263
attack_flow,ctid,44,80,1.0,0.11781354663938463,0.0964203780241733,0,109,263
attack_flow,ctid,44,100,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,44,100,0.1,0.11308475206786484,0.11029036675853296,0,109,263
attack_flow,ctid,44,100,0.2,0.11261180334415058,0.110123115666518,0,109,263
attack_flow,ctid,44,100,0.3,0.1112614695035506,0.10879720365406612,0,109,263
attack_flow,ctid,44,100,0.4,0.10877613501731262,0.09977821719689497,0,109,263
attack_flow,ctid,44,100,0.5,0.10630061173444134,0.09543846466783791,0,109,263
attack_flow,ctid,44,100,0.6,0.10364446442848996,0.09521466013431981,0,109,263
attack_flow,ctid,44,100,0.7,0.10279084267451129,0.0953992390918956,0,109,263
attack_flow,ctid,44,100,0.8,0.1017632169944382,0.08825749174803613,0,109,263
attack_flow,ctid,44,100,0.9,0.10057147693337246,0.0891995349945925,0,109,263
attack_flow,ctid,44,100,1.0,0.09598487510800076,0.09003348191363365,0,109,263
attack_flow,ctid,45,20,0.0,0.12004516057842711,0.11253265700159876,1,109,263
attack_flow,ctid,45,20,0.1,0.11757497389603903,0.10975103207724302,0,109,263
attack_flow,ctid,45,20,0.2,0.11760530057797214,0.10967387678934737,0,109,263
attack_flow,ctid,45,20,0.3,0.11691563340580849,0.09956761282603825,0,109,263
attack_flow,ctid,45,20,0.4,0.11658006825345432,0.10388412249394863,0,109,263
attack_flow,ctid,45,20,0.5,0.1167812894119997,0.0964069787336766,0,109,263
attack_flow,ctid,45,20,0.6,0.11958074140292038,0.09452215008746971,0,109,263
attack_flow,ctid,45,20,0.7,0.1209320177206771,0.09412729178748613,0,109,263
attack_flow,ctid,45,20,0.8,0.12028751434249138,0.09491730152592877,0,109,263
attack_flow,ctid,45,20,0.9,0.1279132289305242,0.09144571866484387,0,109,263
attack_flow,ctid,45,20,1.0,0.12775639558082189,0.09150092132437845,0,109,263
attack_flow,ctid,45,40,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,45,40,0.1,0.11850428503771662,0.1119350674715146,0,109,263
attack_flow,ctid,45,40,0.2,0.11692702679257701,0.11217479788064748,0,109,263
attack_flow,ctid,45,40,0.3,0.11692702679257701,0.10419524990638544,0,109,263
attack_flow,ctid,45,40,0.4,0.11543250112693075,0.10339009318998553,0,109,263
attack_flow,ctid,45,40,0.5,0.12035412884285528,0.1018533038955582,0,109,263
attack_flow,ctid,45,40,0.6,0.12070346481680976,0.09908438150979373,0,109,263
attack_flow,ctid,45,40,0.7,0.11998646494164492,0.09391545142649241,0,109,263
attack_flow,ctid,45,40,0.8,0.12183090487721797,0.09472465875009678,0,109,263
attack_flow,ctid,45,40,0.9,0.12401254091644831,0.09151134883118534,0,109,263
attack_flow,ctid,45,40,1.0,0.12197937966752585,0.09052523341108018,0,109,263
attack_flow,ctid,45,60,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,45,60,0.1,0.11850428503771662,0.11067046623215002,0,109,263
attack_flow,ctid,45,60,0.2,0.1168967001106439,0.11046010623385741,0,109,263
attack_flow,ctid,45,60,0.3,0.11691669916828784,0.11020238723499169,0,109,263
attack_flow,ctid,45,60,0.4,0.11646739577067326,0.10643406449454762,0,109,263
attack_flow,ctid,45,60,0.5,0.11890877957872634,0.09879623591257738,0,109,263
attack_flow,ctid,45,60,0.6,0.12017163731371458,0.0953415404683295,0,109,263
attack_flow,ctid,45,60,0.7,0.12657181400392936,0.09203280212418656,0,109,263
attack_flow,ctid,45,60,0.8,0.12783693964962906,0.09192154909329014,0,109,263
attack_flow,ctid,45,60,0.9,0.12781984753162307,0.08780900613762649,0,109,263
attack_flow,ctid,45,60,1.0,0.13157716727891866,0.08838031970629541,0,109,263
attack_flow,ctid,45,80,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,45,80,0.1,0.11963098910336882,0.1108188557275156,0,109,263
attack_flow,ctid,45,80,0.2,0.11915804037965458,0.1117347328767194,0,109,263
attack_flow,ctid,45,80,0.3,0.1180537308582292,0.11140121760136927,0,109,263
attack_flow,ctid,45,80,0.4,0.1170102054158428,0.10858605579402217,0,109,263
attack_flow,ctid,45,80,0.5,0.11375380938767705,0.10379023169797141,0,109,263
attack_flow,ctid,45,80,0.6,0.11536189359777833,0.09694332651426621,0,109,263
