held_out_source,campaign_id,rows,ndcg5,hit5,precision5,recall5
ctid,sandworm::unknown,31,0.23704792179160736,0.5419354838709678,0.13419354838709677,0.25053763440860216
ctid,turla_carbon::unknown,23,0.28547564093654954,0.6086956521739131,0.1808695652173913,0.3231884057971014
ctid,turla_snake::unknown,26,0.1480996268925434,0.46153846153846156,0.1123076923076923,0.18717948717948715
ctid,wizard_spider::unknown,32,0.2072261267709649,0.53125,0.125,0.22916666666666666
stockpile,01c96671-afd3-47d4-8d31-8c116cc0221a,2,0.0,0.0,0.0,0.0
stockpile,01d77744-2515-401a-a497-d9f7241aac3c,6,0.0,0.0,0.0,0.0
stockpile,09ad625e-6cba-490f-afe3-5417e7edb9c6,2,0.0,0.0,0.0,0.0
stockpile,0b5636cf-f019-4ec9-aa7c-6e4f55505374,4,0.1815795290926499,0.75,0.15000000000000002,0.29166666666666663
stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,2,0.0,0.0,0.0,0.0
stockpile,0f4c3c67-845e-49a0-927e-90ed33c044e0,11,0.0,0.0,0.0,0.0
stockpile,1a98b8e6-18ce-4617-8cc5-e65a1a9d490e,4,0.0,0.0,0.0,0.0
stockpile,1bac97ca-77fc-4c9a-835e-4de1b1b7f639,2,0.0,0.0,0.0,0.0
stockpile,4c28c132-d7d7-4a04-8908-d643b7cb1d58,1,0.0,0.0,0.0,0.0
stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,7,0.18643465685247343,0.7142857142857143,0.14285714285714285,0.3095238095238095
stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,13,0.0782909662158461,0.15384615384615385,0.03076923076923077,0.11538461538461539
stockpile,5d3e170e-f1b8-49f9-9ee1-c51605552a08,2,0.0,0.0,0.0,0.0
stockpile,725226e0-45b8-4432-84ee-144d3f37ff8d,3,0.32565406106430367,1.0,0.20000000000000004,0.611111111111111
stockpile,78e7504d-968f-477d-8806-4d6c04b94431,11,0.28188848484684575,0.9090909090909091,0.18181818181818182,0.5151515151515151
stockpile,bcdbf6b9-14c5-495c-be84-37bce32c312b,2,0.0,0.0,0.0,0.0
stockpile,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,0.0,0.0,0.0,0.0
stockpile,c724545d-a4cc-492e-8075-2ab9a699c847,2,0.0,0.0,0.0,0.0
stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,0.0,0.0,0.0,0.0
stockpile,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,0.0,0.0,0.0,0.0
stockpile,ddbd1850-5fd7-41d5-a7a1-1b15dac49090,3,0.32565406106430367,1.0,0.20000000000000004,0.611111111111111
stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,16,0.0,0.0,0.0,0.0
stockpile,e4324b88-8836-4803-b6b7-09b3c6cd4e94,1,0.0,0.0,0.0,0.0
stockpile,e89a10d3-004f-4c15-b0eb-d1ba76a4b67f,2,0.0,0.0,0.0,0.0
stockpile,eddc8f03-f930-41e7-95ba-33fb87bfed74,2,0.0,0.0,0.0,0.0
stockpile,ef4d997c-a0d1-4067-9efa-87c58682db71,3,0.3317795278068456,1.0,0.20000000000000004,0.611111111111111
stockpile,f98193a0-8b5b-4b5e-a5aa-e8c3adfcd4e6,1,0.0,0.0,0.0,0.0
stockpile,fbc41624-1052-490c-b5ec-4fd718e2501d,2,0.0,0.0,0.0,0.0
