held_out_source,inner_validation_source,seed,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,validation_rows
ctid,stockpile,42,0.0,0.13376743719758546,0.10532388305352063,0,109
ctid,stockpile,42,0.1,0.15972571013673295,0.1392092355778405,0,109
ctid,stockpile,42,0.2,0.15475779893076758,0.14026803325215592,0,109
ctid,stockpile,42,0.3,0.1555326481776272,0.16316747551041685,0,109
ctid,stockpile,42,0.4,0.16377402490122106,0.17757609220611853,0,109
ctid,stockpile,42,0.5,0.18455484819530135,0.19736790472765417,0,109
ctid,stockpile,42,0.6,0.1729674738520419,0.1994465080800547,0,109
ctid,stockpile,42,0.7,0.17424571544902767,0.20628475956110276,0,109
ctid,stockpile,42,0.8,0.1742819726391373,0.2067036934998399,0,109
ctid,stockpile,42,0.9,0.17410847814214114,0.20710496532450723,1,109
ctid,stockpile,42,1.0,0.17410847814214114,0.20710496532450723,0,109
ctid,stockpile,43,0.0,0.1372791209716135,0.10532388305352063,0,109
ctid,stockpile,43,0.1,0.16124262279514973,0.1392092355778405,0,109
ctid,stockpile,43,0.2,0.15797158217902713,0.14026803325215592,0,109
ctid,stockpile,43,0.3,0.1607027714700792,0.16316747551041685,0,109
ctid,stockpile,43,0.4,0.1644630474934827,0.17757609220611853,0,109
ctid,stockpile,43,0.5,0.184989854651004,0.19736790472765417,0,109
ctid,stockpile,43,0.6,0.17360935757358453,0.1994465080800547,0,109
ctid,stockpile,43,0.7,0.1748875991705703,0.20628475956110276,0,109
ctid,stockpile,43,0.8,0.1742819726391373,0.2067036934998399,0,109
ctid,stockpile,43,0.9,0.17410847814214114,0.20710496532450723,1,109
ctid,stockpile,43,1.0,0.17410847814214114,0.20710496532450723,0,109
ctid,stockpile,44,0.0,0.13268322000079613,0.10532388305352063,0,109
ctid,stockpile,44,0.1,0.15575476522408357,0.1392092355778405,0,109
ctid,stockpile,44,0.2,0.15299067364780317,0.14026803325215592,0,109
ctid,stockpile,44,0.3,0.15576426085403625,0.16316747551041685,0,109
ctid,stockpile,44,0.4,0.1648874584733628,0.17757609220611853,0,109
ctid,stockpile,44,0.5,0.18513208277126902,0.19736790472765417,0,109
ctid,stockpile,44,0.6,0.17375158569384955,0.1994465080800547,0,109
ctid,stockpile,44,0.7,0.1748875991705703,0.20628475956110276,0,109
ctid,stockpile,44,0.8,0.1742819726391373,0.2067036934998399,0,109
ctid,stockpile,44,0.9,0.17410847814214114,0.20710496532450723,1,109
ctid,stockpile,44,1.0,0.17410847814214114,0.20710496532450723,0,109
ctid,stockpile,45,0.0,0.13540560612879915,0.10532388305352063,0,109
ctid,stockpile,45,0.1,0.1607713416942194,0.1392092355778405,0,109
ctid,stockpile,45,0.2,0.15697554214216916,0.14026803325215592,0,109
ctid,stockpile,45,0.3,0.16006837574226226,0.16316747551041685,0,109
ctid,stockpile,45,0.4,0.1637359679579426,0.17757609220611853,0,109
ctid,stockpile,45,0.5,0.1842390002508472,0.19736790472765417,0,109
ctid,stockpile,45,0.6,0.17355076625175206,0.1994465080800547,0,109
ctid,stockpile,45,0.7,0.1748875991705703,0.20628475956110276,0,109
ctid,stockpile,45,0.8,0.1742819726391373,0.2067036934998399,0,109
ctid,stockpile,45,0.9,0.17410847814214114,0.20710496532450723,1,109
ctid,stockpile,45,1.0,0.17410847814214114,0.20710496532450723,0,109
ctid,stockpile,46,0.0,0.13151197789953584,0.10532388305352063,0,109
ctid,stockpile,46,0.1,0.1567760499343568,0.1392092355778405,0,109
ctid,stockpile,46,0.2,0.14788373914260197,0.14026803325215592,0,109
ctid,stockpile,46,0.3,0.153480239273533,0.16316747551041685,0,109
ctid,stockpile,46,0.4,0.16440445617165023,0.17757609220611853,0,109
ctid,stockpile,46,0.5,0.184472641566852,0.19736790472765417,0,109
ctid,stockpile,46,0.6,0.17360935757358453,0.1994465080800547,0,109
ctid,stockpile,46,0.7,0.1748875991705703,0.20628475956110276,0,109
ctid,stockpile,46,0.8,0.1742819726391373,0.2067036934998399,0,109
ctid,stockpile,46,0.9,0.17410847814214114,0.20710496532450723,1,109
ctid,stockpile,46,1.0,0.17410847814214114,0.20710496532450723,0,109
attack_flow,ctid,42,0.0,0.10632013574118082,0.12909526090771803,0,263
attack_flow,ctid,42,0.1,0.13595316925590684,0.1404837172531744,0,263
attack_flow,ctid,42,0.2,0.14464874769341388,0.14278786460537352,0,263
attack_flow,ctid,42,0.3,0.16034049549160526,0.16763715041901942,0,263
attack_flow,ctid,42,0.4,0.1640543519388637,0.17437202193715273,0,263
attack_flow,ctid,42,0.5,0.16660494852402194,0.1790772237935537,0,263
attack_flow,ctid,42,0.6,0.1790333347360834,0.18640217528850447,1,263
attack_flow,ctid,42,0.7,0.18691658986404977,0.1809194861830286,0,263
attack_flow,ctid,42,0.8,0.19300613872153247,0.1836301084293418,0,263
attack_flow,ctid,42,0.9,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,42,1.0,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,43,0.0,0.10124688596287826,0.12909526090771803,0,263
attack_flow,ctid,43,0.1,0.1295838494446062,0.1404837172531744,0,263
attack_flow,ctid,43,0.2,0.1404340082619595,0.14278786460537352,0,263
attack_flow,ctid,43,0.3,0.15689930719200268,0.16763715041901942,0,263
attack_flow,ctid,43,0.4,0.1592372169442236,0.17437202193715273,0,263
attack_flow,ctid,43,0.5,0.1631280259156471,0.1790772237935537,0,263
attack_flow,ctid,43,0.6,0.17946432349035463,0.18640217528850447,1,263
attack_flow,ctid,43,0.7,0.18696822798549553,0.1809194861830286,0,263
