comparison,metric,omitted_campaign,campaigns_remaining,full_effect,leave_one_out_effect
B0-HM,precision5,fin7::unknown,9,0.04118253944594648,0.042980599384384977
B0-HM,precision5,menu_pass::unknown,9,0.04118253944594648,0.043536154939940536
B0-HM,precision5,oilrig::unknown,9,0.04118253944594648,0.032425043828829415
B0-HM,precision5,sandworm::unknown,9,0.04118253944594648,0.040023610137073146
B0-HM,precision5,turla_carbon::unknown,9,0.04118253944594648,0.040734222572790774
B0-HM,precision5,turla_snake::unknown,9,0.04118253944594648,0.046271197674983264
B0-HM,precision5,wizard_spider::unknown,9,0.04118253944594648,0.03673059938438497
B0-HM,recall5,apt29::unknown,9,0.06773689901531858,0.07802630166899008
B0-HM,recall5,carbanak::unknown,9,0.06773689901531858,0.0666862230774495
B0-HM,recall5,fin6::unknown,9,0.06773689901531858,0.07225396186887251
B0-HM,recall5,fin7::unknown,9,0.06773689901531858,0.07063359149850212
B0-HM,recall5,menu_pass::unknown,9,0.06773689901531858,0.07155951742442807
B0-HM,recall5,oilrig::unknown,9,0.06773689901531858,0.05568650155141218
B0-HM,recall5,sandworm::unknown,9,0.06773689901531858,0.06140420081749855
B0-HM,recall5,turla_carbon::unknown,9,0.06773689901531858,0.0659234465709659
B0-HM,recall5,turla_snake::unknown,9,0.06773689901531858,0.07683017269508333
B0-HM,recall5,wizard_spider::unknown,9,0.06773689901531858,0.05836507297998361
B0-HM+S,ndcg5,apt29::unknown,9,0.07407367777437007,0.08583874021254803
B0-HM+S,ndcg5,carbanak::unknown,9,0.07407367777437007,0.07323343185452819
B0-HM+S,ndcg5,fin6::unknown,9,0.07407367777437007,0.07471750540820082
B0-HM+S,ndcg5,fin7::unknown,9,0.07407367777437007,0.07578632633231736
B0-HM+S,ndcg5,menu_pass::unknown,9,0.07407367777437007,0.0776360343308649
B0-HM+S,ndcg5,oilrig::unknown,9,0.07407367777437007,0.06658613231476952
B0-HM+S,ndcg5,sandworm::unknown,9,0.07407367777437007,0.06984150263958534
B0-HM+S,ndcg5,turla_carbon::unknown,9,0.07407367777437007,0.07262086910357896
B0-HM+S,ndcg5,turla_snake::unknown,9,0.07407367777437007,0.07799991128863835
B0-HM+S,ndcg5,wizard_spider::unknown,9,0.07407367777437007,0.06647632425866926
B0-HM+S,hit5,apt29::unknown,9,0.08512256081414382,0.10375169896456897
B0-HM+S,hit5,carbanak::unknown,9,0.08512256081414382,0.07469758219115394
B0-HM+S,hit5,fin6::unknown,9,0.08512256081414382,0.10152506757127092
B0-HM+S,hit5,fin7::unknown,9,0.08512256081414382,0.09458062312682647
B0-HM+S,hit5,menu_pass::unknown,9,0.08512256081414382,0.08346951201571534
B0-HM+S,hit5,oilrig::unknown,9,0.08512256081414382,0.06473935328555662
B0-HM+S,hit5,sandworm::unknown,9,0.08512256081414382,0.08454478083291966
B0-HM+S,hit5,turla_carbon::unknown,9,0.08512256081414382,0.06656129945532888
B0-HM+S,hit5,turla_snake::unknown,9,0.08512256081414382,0.10569173423793757
B0-HM+S,hit5,wizard_spider::unknown,9,0.08512256081414382,0.0716639564601598
B0-HM+S,precision5,apt29::unknown,9,0.04118253944594648,0.047592592329711254
B0-HM+S,precision5,carbanak::unknown,9,0.04118253944594648,0.038272997045203684
B0-HM+S,precision5,fin6::unknown,9,0.04118253944594648,0.043258377162162756
B0-HM+S,precision5,fin7::unknown,9,0.04118253944594648,0.042980599384384977
B0-HM+S,precision5,menu_pass::unknown,9,0.04118253944594648,0.043536154939940536
B0-HM+S,precision5,oilrig::unknown,9,0.04118253944594648,0.032425043828829415
B0-HM+S,precision5,sandworm::unknown,9,0.04118253944594648,0.040023610137073146
B0-HM+S,precision5,turla_carbon::unknown,9,0.04118253944594648,0.040734222572790774
B0-HM+S,precision5,turla_snake::unknown,9,0.04118253944594648,0.046271197674983264
B0-HM+S,precision5,wizard_spider::unknown,9,0.04118253944594648,0.03673059938438497
B0-HM+S,recall5,apt29::unknown,9,0.06773689901531858,0.07802630166899008
B0-HM+S,recall5,carbanak::unknown,9,0.06773689901531858,0.0666862230774495
B0-HM+S,recall5,fin6::unknown,9,0.06773689901531858,0.07225396186887251
B0-HM+S,recall5,fin7::unknown,9,0.06773689901531858,0.07063359149850212
B0-HM+S,recall5,menu_pass::unknown,9,0.06773689901531858,0.07155951742442807
B0-HM+S,recall5,oilrig::unknown,9,0.06773689901531858,0.05568650155141218
B0-HM+S,recall5,sandworm::unknown,9,0.06773689901531858,0.06140420081749855
B0-HM+S,recall5,turla_carbon::unknown,9,0.06773689901531858,0.0659234465709659
B0-HM+S,recall5,turla_snake::unknown,9,0.06773689901531858,0.07683017269508333
B0-HM+S,recall5,wizard_spider::unknown,9,0.06773689901531858,0.05836507297998361
T+B0-B0,ndcg5,apt29::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,carbanak::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,fin6::unknown,9,0.00011249040737231763,0.00012498934152479737
