held_out_source,inner_validation_source,tactic_lambda,b0_lambda,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,training_rows,validation_rows
ctid,attack_flow,0.9,0.5,0.22196444853626512,0.19809965773674254,0,109,412
ctid,attack_flow,1.0,0.5,0.2207911161520068,0.19772310936005014,0,109,412
ctid,attack_flow,0.0,0.6,0.22716706618890722,0.20091218185126408,0,109,412
ctid,attack_flow,0.1,0.6,0.22339605301522233,0.19881655744898488,0,109,412
ctid,attack_flow,0.2,0.6,0.22405021161859742,0.19913468218264438,0,109,412
ctid,attack_flow,0.3,0.6,0.22387928945670466,0.19904922110169798,0,109,412
ctid,attack_flow,0.4,0.6,0.22418416179417194,0.19920165727043165,0,109,412
ctid,attack_flow,0.5,0.6,0.22361900247207284,0.198981657948466,0,109,412
ctid,attack_flow,0.6,0.6,0.22637776496240475,0.20068036784267362,0,109,412
ctid,attack_flow,0.7,0.6,0.22598429655634092,0.20046129237649052,0,109,412
ctid,attack_flow,0.8,0.6,0.2275058556955712,0.20126841384996724,0,109,412
ctid,attack_flow,0.9,0.6,0.23746564450671828,0.2062483082555408,0,109,412
ctid,attack_flow,1.0,0.6,0.23945765689987278,0.20713413214439813,0,109,412
ctid,attack_flow,0.0,0.7,0.2372436768072612,0.20575813707664398,0,109,412
ctid,attack_flow,0.1,0.7,0.2371685663040365,0.2057205818250316,0,109,412
ctid,attack_flow,0.2,0.7,0.23773182420637065,0.2060022107761987,0,109,412
ctid,attack_flow,0.3,0.7,0.2369467225263619,0.20563895559711057,0,109,412
ctid,attack_flow,0.4,0.7,0.23747833508340263,0.2058267037341069,0,109,412
ctid,attack_flow,0.5,0.7,0.23709129173991778,0.20599177672002333,0,109,412
ctid,attack_flow,0.6,0.7,0.2393304933483885,0.20702531398851576,0,109,412
ctid,attack_flow,0.7,0.7,0.23918702161282873,0.20663263625996453,0,109,412
ctid,attack_flow,0.8,0.7,0.2395233249950774,0.20682459067558331,0,109,412
ctid,attack_flow,0.9,0.7,0.23964476920596353,0.20696820195805415,0,109,412
ctid,attack_flow,1.0,0.7,0.23976095497921648,0.2069561502163246,0,109,412
ctid,attack_flow,0.0,0.8,0.23936238372578234,0.20685983097934735,0,109,412
ctid,attack_flow,0.1,0.8,0.2400226069822262,0.2071899426075693,1,109,412
ctid,attack_flow,0.2,0.8,0.23988113057013105,0.2069948043561361,0,109,412
ctid,attack_flow,0.3,0.8,0.23986014531098496,0.20698431172656306,0,109,412
ctid,attack_flow,0.4,0.8,0.23986014531098496,0.20698431172656306,0,109,412
ctid,attack_flow,0.5,0.8,0.2400247351288976,0.20706660663551937,0,109,412
ctid,attack_flow,0.6,0.8,0.24008871229509593,0.20709859521861854,0,109,412
ctid,attack_flow,0.7,0.8,0.24010634906734069,0.20710741360474091,0,109,412
ctid,attack_flow,0.8,0.8,0.24007696970453613,0.20709272392333863,0,109,412
ctid,attack_flow,0.9,0.8,0.24007696970453613,0.20709272392333863,0,109,412
ctid,attack_flow,1.0,0.8,0.24007696970453613,0.20709272392333863,0,109,412
ctid,attack_flow,0.0,0.9,0.24013083186967782,0.20711965500590948,0,109,412
ctid,attack_flow,0.1,0.9,0.24013083186967782,0.20711965500590948,0,109,412
ctid,attack_flow,0.2,0.9,0.24013083186967782,0.20711965500590948,0,109,412
ctid,attack_flow,0.3,0.9,0.24013083186967782,0.20711965500590948,0,109,412
ctid,attack_flow,0.4,0.9,0.24013083186967782,0.20711965500590948,0,109,412
ctid,attack_flow,0.5,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.6,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.7,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.8,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.9,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,1.0,0.9,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.0,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.1,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.2,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.3,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.4,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.5,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.6,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.7,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.8,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,0.9,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,attack_flow,1.0,1.0,0.24010145250687326,0.2071049653245072,0,109,412
ctid,stockpile,0.0,0.0,0.13594383220718814,0.10422453894431116,0,412,109
ctid,stockpile,0.1,0.0,0.13033546931453202,0.09950691333671474,0,412,109
