comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
F2-F2-Equal,ndcg5,0.0030838905471924916,-0.0043741240113367936,0.011665808877418157,2000,20260807
F2-F2-Equal,hit5,0.014134627106977327,-0.008666165574767725,0.040155519794536694,2000,20260807
F2-F2-Equal,precision5,-0.000685645353303288,-0.005510608905993408,0.004465289043446395,2000,20260807
F2-F2-Equal,recall5,0.010916058476518192,-0.007626362439073569,0.032131919304997515,2000,20260807
F3-B0,ndcg5,-0.017667561560956058,-0.02563099420572364,-0.010098569302951074,2000,20260807
F3-B0,hit5,-0.014520606979157413,-0.027580213778370458,-0.0017523850623429819,2000,20260807
F3-B0,precision5,-0.007211590938263415,-0.010724773630758353,-0.0038830512642268555,2000,20260807
F3-B0,recall5,-0.014128475955198228,-0.023440328554200193,-0.0058444263072769806,2000,20260807
F3-F3-Perm,ndcg5,-0.017667561560956058,-0.02563099420572364,-0.010098569302951074,2000,20260807
F3-F3-Perm,hit5,-0.014520606979157413,-0.027580213778370458,-0.0017523850623429819,2000,20260807
F3-F3-Perm,precision5,-0.007211590938263415,-0.010724773630758353,-0.0038830512642268555,2000,20260807
F3-F3-Perm,recall5,-0.014128475955198228,-0.023440328554200193,-0.0058444263072769806,2000,20260807
F3-F3-NoPrior,ndcg5,-0.003945395043338212,-0.00915208378502785,0.0014142858214842198,2000,20260807
F3-F3-NoPrior,hit5,0.003468936546100365,-0.004909090330849491,0.011689342403628117,2000,20260807
F3-F3-NoPrior,precision5,-0.00023834460787421075,-0.002997140620312332,0.002811713332676064,2000,20260807
F3-F3-NoPrior,recall5,9.977429809016058e-06,-0.005166346753126198,0.005344839847528025,2000,20260807
F3-F3-Equal,ndcg5,-0.017667561560956058,-0.02563099420572364,-0.010098569302951074,2000,20260807
F3-F3-Equal,hit5,-0.014520606979157413,-0.027580213778370458,-0.0017523850623429819,2000,20260807
F3-F3-Equal,precision5,-0.007211590938263415,-0.010724773630758353,-0.0038830512642268555,2000,20260807
F3-F3-Equal,recall5,-0.014128475955198228,-0.023440328554200193,-0.0058444263072769806,2000,20260807
F4-B0,ndcg5,-0.002895014490415848,-0.006474841766582158,0.0006314668670201157,2000,20260807
F4-B0,hit5,-0.0038775722225932174,-0.014713718820861676,0.006218574386276249,2000,20260807
F4-B0,precision5,-0.004604892641890401,-0.007975033784557592,-0.0012805649576002902,2000,20260807
F4-B0,recall5,-0.007653992037823687,-0.013673198769294986,-0.0018000862752248564,2000,20260807
F4-F4-Perm,ndcg5,0.010004759426702092,-0.005573621164501032,0.029396665729587736,2000,20260807
F4-F4-Perm,hit5,-0.000791152469506784,-0.012730668731052741,0.011511064713662728,2000,20260807
F4-F4-Perm,precision5,-0.003833287703618793,-0.007466323486686897,-0.00029456412194507387,2000,20260807
F4-F4-Perm,recall5,-0.005853580515189971,-0.012415333101355954,0.0008274938245691144,2000,20260807
F4-F4-NoPrior,ndcg5,-0.0032385652399057052,-0.00807543860472293,0.0005865797270700566,2000,20260807
F4-F4-NoPrior,hit5,-0.00818322911145547,-0.02496698774476552,0.004731379731379733,2000,20260807
F4-F4-NoPrior,precision5,-0.0021993203611561096,-0.005351796351796354,0.0003947117473687525,2000,20260807
F4-F4-NoPrior,recall5,-0.007733244345563162,-0.019246825561525353,0.0007800082748322905,2000,20260807
F4-F4-Equal,ndcg5,-0.002895014490415848,-0.006474841766582158,0.0006314668670201157,2000,20260807
F4-F4-Equal,hit5,-0.0038775722225932174,-0.014713718820861676,0.006218574386276249,2000,20260807
F4-F4-Equal,precision5,-0.004604892641890401,-0.007975033784557592,-0.0012805649576002902,2000,20260807
F4-F4-Equal,recall5,-0.007653992037823687,-0.013673198769294986,-0.0018000862752248564,2000,20260807
