held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,46,100,0.8,0.107375680900243,0.09089976242310094,0,109,263
attack_flow,ctid,46,100,0.9,0.10532468818325058,0.09249281662897997,0,109,263
attack_flow,ctid,46,100,1.0,0.1012466928685184,0.09003348191363365,0,109,263
attack_flow,stockpile,42,20,0.0,0.15578535298008467,0.12909526090771803,1,263,109
attack_flow,stockpile,42,20,0.1,0.13393809049793062,0.11532274919935392,0,263,109
attack_flow,stockpile,42,20,0.2,0.12781313137404746,0.11271685316271732,0,263,109
attack_flow,stockpile,42,20,0.3,0.12287144140297392,0.1085544552937601,0,263,109
attack_flow,stockpile,42,20,0.4,0.09698279883390688,0.10074912520507158,0,263,109
attack_flow,stockpile,42,20,0.5,0.06649162525262861,0.08883744558367905,0,263,109
attack_flow,stockpile,42,20,0.6,0.07620461633736039,0.09186195945541707,0,263,109
attack_flow,stockpile,42,20,0.7,0.07726867751265527,0.0952717814484387,0,263,109
attack_flow,stockpile,42,20,0.8,0.06937478804640175,0.09301322828913723,0,263,109
attack_flow,stockpile,42,20,0.9,0.07075425085452781,0.08991180082812036,0,263,109
attack_flow,stockpile,42,20,1.0,0.07564839745284353,0.09150092132437845,0,263,109
attack_flow,stockpile,42,40,0.0,0.15578535298008467,0.12909526090771803,0,263,109
attack_flow,stockpile,42,40,0.1,0.13389195137106777,0.11596853359186499,0,263,109
attack_flow,stockpile,42,40,0.2,0.128373629301582,0.11606652313419925,0,263,109
attack_flow,stockpile,42,40,0.3,0.12499283854876467,0.11420046285446957,0,263,109
attack_flow,stockpile,42,40,0.4,0.10815992365181092,0.10818370723753792,0,263,109
attack_flow,stockpile,42,40,0.5,0.08971464531411524,0.1006381501213182,0,263,109
attack_flow,stockpile,42,40,0.6,0.0631000999334997,0.09190409950648123,0,263,109
attack_flow,stockpile,42,40,0.7,0.06026935712850303,0.09132743582101387,0,263,109
attack_flow,stockpile,42,40,0.8,0.0660637952481949,0.08988374195045862,0,263,109
