method,held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+P,attack_flow,ctid,43,80,0.3,0.09551120906055685,0.11226162186915496,0,109,263
HM+P,attack_flow,ctid,43,80,0.4,0.1004608312502129,0.10752085147335119,0,109,263
HM+P,attack_flow,ctid,43,80,0.5,0.10703282493354327,0.10170354010075278,0,109,263
HM+P,attack_flow,ctid,43,80,0.6,0.10623058976926576,0.09226177839234292,0,109,263
HM+P,attack_flow,ctid,43,80,0.7,0.10903524475830502,0.0873343583672137,0,109,263
HM+P,attack_flow,ctid,43,80,0.8,0.11592860872306705,0.08761810120667297,0,109,263
HM+P,attack_flow,ctid,43,80,0.9,0.11801990100065969,0.08839473325475976,0,109,263
HM+P,attack_flow,ctid,43,80,1.0,0.12837907350256722,0.08886070868361154,0,109,263
HM+P,attack_flow,ctid,43,100,0.0,0.10124688596287826,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,43,100,0.1,0.10108926256174602,0.11637248892859857,0,109,263
HM+P,attack_flow,ctid,43,100,0.2,0.10005765578582723,0.11493940206444635,0,109,263
HM+P,attack_flow,ctid,43,100,0.3,0.10216370806965122,0.11323336152389833,0,109,263
HM+P,attack_flow,ctid,43,100,0.4,0.10024108051506139,0.10781646636953066,0,109,263
HM+P,attack_flow,ctid,43,100,0.5,0.1028154447098405,0.10183834940515804,0,109,263
HM+P,attack_flow,ctid,43,100,0.6,0.10110050783017144,0.09132822717983281,0,109,263
HM+P,attack_flow,ctid,43,100,0.7,0.10974453109956221,0.08964461512793773,0,109,263
HM+P,attack_flow,ctid,43,100,0.8,0.10815570593294699,0.08815867154178511,0,109,263
HM+P,attack_flow,ctid,43,100,0.9,0.11097391240868218,0.08786487902391679,0,109,263
HM+P,attack_flow,ctid,43,100,1.0,0.11235134093535662,0.08983011852175946,0,109,263
HM+P,attack_flow,ctid,44,20,0.0,0.10821325635934269,0.12909526090771803,1,109,263
HM+P,attack_flow,ctid,44,20,0.1,0.10196481460725013,0.11477009566858005,0,109,263
HM+P,attack_flow,ctid,44,20,0.2,0.09881241172101654,0.11217668910597807,0,109,263
HM+P,attack_flow,ctid,44,20,0.3,0.10224647075805737,0.10725866191130178,0,109,263
HM+P,attack_flow,ctid,44,20,0.4,0.10460643101834737,0.10098382971523823,0,109,263
HM+P,attack_flow,ctid,44,20,0.5,0.10922340551071204,0.08942598133122305,0,109,263
HM+P,attack_flow,ctid,44,20,0.6,0.11393971299699315,0.09250733668308656,0,109,263
HM+P,attack_flow,ctid,44,20,0.7,0.11655016717815767,0.09502037451407179,0,109,263
HM+P,attack_flow,ctid,44,20,0.8,0.11879282738672972,0.09469445477690416,0,109,263
HM+P,attack_flow,ctid,44,20,0.9,0.11999160939372085,0.09350694453086697,0,109,263
