scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
attack_flow,TR-A,hit5,-0.14628828314542597,-0.20838859989217132,-0.08766792889650038,2000,20260807
attack_flow,TR-A,precision5,-0.035860896246610534,-0.051726348651348654,-0.020220825047967923,2000,20260807
attack_flow,TR-A,recall5,-0.07211833933262504,-0.10537910740053597,-0.03946514219907078,2000,20260807
attack_flow,LSTM-A0,ndcg5,-0.06421915212552162,-0.10141181194959112,-0.03172929489680439,2000,20260807
attack_flow,LSTM-A0,hit5,-0.1357314828029114,-0.20990768873983157,-0.06685361999112002,2000,20260807
attack_flow,LSTM-A0,precision5,-0.03739566306709163,-0.05793910926375212,-0.019653233869305314,2000,20260807
attack_flow,LSTM-A0,recall5,-0.07219940641369213,-0.11250014337514336,-0.037405678580678586,2000,20260807
attack_flow,TR-A0,ndcg5,-0.07321038272070302,-0.11326839776779773,-0.03252944501830658,2000,20260807
attack_flow,TR-A0,hit5,-0.14790436547579403,-0.2189069474176617,-0.07298333630655059,2000,20260807
attack_flow,TR-A0,precision5,-0.03947436214579072,-0.06063410375338947,-0.01891983714698002,2000,20260807
attack_flow,TR-A0,recall5,-0.07405914984486413,-0.11499896439539298,-0.03157834149977008,2000,20260807
attack_flow,TR-LSTM,ndcg5,-0.008991230595181378,-0.029923943529512383,0.01412052833342156,2000,20260807
attack_flow,TR-LSTM,hit5,-0.012172882672882664,-0.05908416623059479,0.03699999999999994,2000,20260807
attack_flow,TR-LSTM,precision5,-0.002078699078699079,-0.013338442113442116,0.01032215007215007,2000,20260807
attack_flow,TR-LSTM,recall5,-0.0018597434311720023,-0.027650487012987016,0.02596543522614951,2000,20260807
stockpile,LSTM-A,ndcg5,-0.06117073240108645,-0.12211341140655134,-0.01738938861940794,2000,20260807
stockpile,LSTM-A,hit5,-0.11896560229893563,-0.23286270827937494,-0.020579112245778984,2000,20260807
stockpile,LSTM-A,precision5,-0.024166697500030834,-0.04711735486735486,-0.004290604457271135,2000,20260807
