architecture,held_out_source,inner_training_source,inner_validation_source,learning_rate,seed,epoch,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
LSTM,attack_flow,ctid,stockpile,0.001,44,100,0.06363181477285407,0.09050691334813558,1,263,109
LSTM,attack_flow,ctid,stockpile,0.001,45,20,0.06012945679691677,0.08566888876251752,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,45,40,0.06780298979796166,0.08807302043905821,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,45,60,0.07480652757849515,0.09021705010520757,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,45,80,0.07759085629602536,0.08654430610885264,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,45,100,0.06349885792287167,0.09050691334813558,1,263,109
LSTM,attack_flow,ctid,stockpile,0.001,46,20,0.041544359123717234,0.08566888876251752,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,46,40,0.07492108314959055,0.08807302043905821,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,46,60,0.06048462768606811,0.09021705010520757,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,46,80,0.05067460080989056,0.08654430610885264,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,46,100,0.042768533572530916,0.09050691334813558,1,263,109
LSTM,ctid,stockpile,attack_flow,0.0003,42,20,0.05378332193023395,0.058983479239500744,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,42,40,0.05820432314270459,0.05657218141461493,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,42,60,0.058378298757203025,0.056119833374291474,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,42,80,0.05642031755460952,0.055594320810349276,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,42,100,0.05625511451778863,0.05469336891669792,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,43,20,0.07473708818185681,0.058983479239500744,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,43,40,0.0561288977550566,0.05657218141461493,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,43,60,0.05714745993799812,0.056119833374291474,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,43,80,0.06427753169802354,0.055594320810349276,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,43,100,0.055742056239097816,0.05469336891669792,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,44,20,0.052393460157905414,0.058983479239500744,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,44,40,0.05846406286175782,0.05657218141461493,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,44,60,0.052617314955682795,0.056119833374291474,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,44,80,0.058863027853085295,0.055594320810349276,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,44,100,0.05292228300429861,0.05469336891669792,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,45,20,0.06344023154399392,0.058983479239500744,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,45,40,0.0579265657791476,0.05657218141461493,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,45,60,0.07713532356502072,0.056119833374291474,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,45,80,0.05993621079197368,0.055594320810349276,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,45,100,0.0588889817148645,0.05469336891669792,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,46,20,0.05827840859458633,0.058983479239500744,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,46,40,0.061184491007397174,0.05657218141461493,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,46,60,0.060536127462620916,0.056119833374291474,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,46,80,0.05718231626199652,0.055594320810349276,0,109,412
LSTM,ctid,stockpile,attack_flow,0.0003,46,100,0.06414957302655301,0.05469336891669792,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,42,20,0.05268891619753438,0.06211115934104052,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,42,40,0.06524204021664272,0.0667896238990687,1,109,412
LSTM,ctid,stockpile,attack_flow,0.001,42,60,0.06559115657589533,0.06055293126413517,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,42,80,0.07017064433556636,0.06363638360948554,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,42,100,0.07596557500754497,0.05706328482309826,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,43,20,0.05536854089297412,0.06211115934104052,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,43,40,0.05068157433244874,0.0667896238990687,1,109,412
LSTM,ctid,stockpile,attack_flow,0.001,43,60,0.05569508433523441,0.06055293126413517,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,43,80,0.06402502214029296,0.06363638360948554,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,43,100,0.05406896348807128,0.05706328482309826,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,44,20,0.048933164380076895,0.06211115934104052,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,44,40,0.05030314053086324,0.0667896238990687,1,109,412
LSTM,ctid,stockpile,attack_flow,0.001,44,60,0.05197546086083281,0.06055293126413517,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,44,80,0.061214296514381886,0.06363638360948554,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,44,100,0.05255813793252191,0.05706328482309826,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,45,20,0.07711694199858592,0.06211115934104052,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,45,40,0.0778797226237249,0.0667896238990687,1,109,412
LSTM,ctid,stockpile,attack_flow,0.001,45,60,0.07990990191530717,0.06055293126413517,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,45,80,0.06602506162718912,0.06363638360948554,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,45,100,0.07127136905405437,0.05706328482309826,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,46,20,0.06644221891328962,0.06211115934104052,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,46,40,0.057432077474420556,0.0667896238990687,1,109,412
LSTM,ctid,stockpile,attack_flow,0.001,46,60,0.06687736369009939,0.06055293126413517,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,46,80,0.0706664784479207,0.06363638360948554,0,109,412
LSTM,ctid,stockpile,attack_flow,0.001,46,100,0.06873483339639376,0.05706328482309826,0,109,412
LSTM,ctid,attack_flow,stockpile,0.0003,42,20,0.05504659279761991,0.058983479239500744,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,42,40,0.04621582472021591,0.05657218141461493,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,42,60,0.03943173338731798,0.056119833374291474,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,42,80,0.039976907056449844,0.055594320810349276,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,42,100,0.03938795420736369,0.05469336891669792,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,43,20,0.06404867281281602,0.058983479239500744,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,43,40,0.0698176196053431,0.05657218141461493,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,43,60,0.05981114510864833,0.056119833374291474,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,43,80,0.05318639353942994,0.055594320810349276,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,43,100,0.04879575495963985,0.05469336891669792,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,44,20,0.06349964701263151,0.058983479239500744,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,44,40,0.06621599408275491,0.05657218141461493,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,44,60,0.06546753792939038,0.056119833374291474,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,44,80,0.08240143756943674,0.055594320810349276,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,44,100,0.0730691706875439,0.05469336891669792,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,45,20,0.06922454152798876,0.058983479239500744,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,45,40,0.06055553810607218,0.05657218141461493,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,45,60,0.06155352038688334,0.056119833374291474,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,45,80,0.05363769438698272,0.055594320810349276,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,45,100,0.05250140144236052,0.05469336891669792,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,46,20,0.03538282783537488,0.058983479239500744,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,46,40,0.031008497085699433,0.05657218141461493,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,46,60,0.02911987225214918,0.056119833374291474,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,46,80,0.03006137139150493,0.055594320810349276,0,412,109
LSTM,ctid,attack_flow,stockpile,0.0003,46,100,0.0452213993674686,0.05469336891669792,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,42,20,0.08289936506506426,0.06211115934104052,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,42,40,0.08411571443840826,0.0667896238990687,1,412,109
LSTM,ctid,attack_flow,stockpile,0.001,42,60,0.03974110994398781,0.06055293126413517,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,42,80,0.04276152661374654,0.06363638360948554,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,42,100,0.04293749982689849,0.05706328482309826,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,43,20,0.0514462567328854,0.06211115934104052,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,43,40,0.0813561383642967,0.0667896238990687,1,412,109
LSTM,ctid,attack_flow,stockpile,0.001,43,60,0.06704005997853049,0.06055293126413517,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,43,80,0.08096208152234244,0.06363638360948554,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,43,100,0.08030217049148278,0.05706328482309826,0,412,109
