scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
source_equal_overall,HM-LSTM,hit5,0.023626564448234244,-0.027245993984363122,0.07620515149346978,2000,20260807
source_equal_overall,HM-LSTM,precision5,-0.0017676779728449325,-0.015121745570924192,0.011310785474717264,2000,20260807
source_equal_overall,HM-LSTM,recall5,-0.002104748501294988,-0.026225282245228316,0.022374349558886383,2000,20260807
source_equal_overall,HM-A,ndcg5,-0.02770207421254645,-0.05095564410722735,-0.007026047132685504,2000,20260807
source_equal_overall,HM-A,hit5,-0.040712147172480305,-0.08605119600044425,0.0038778425948020495,2000,20260807
source_equal_overall,HM-A,precision5,-0.012718097225732458,-0.02254112638937303,-0.0028617530424539595,2000,20260807
source_equal_overall,HM-A,recall5,-0.032450448755436796,-0.05965613244598948,-0.006962149636866613,2000,20260807
source_equal_overall,HM-K,ndcg5,-0.053220858990098145,-0.0842056541164043,-0.024353535446083117,2000,20260807
source_equal_overall,HM-K,hit5,-0.06688215289491065,-0.12154617627696539,-0.008287934034629343,2000,20260807
source_equal_overall,HM-K,precision5,-0.017370877620157762,-0.030037694538777717,-0.003971336409733427,2000,20260807
source_equal_overall,HM-K,recall5,-0.060652780410908436,-0.10397116783950813,-0.019045777991147508,2000,20260807
