held_out_source,method,campaign_id,rows,ndcg5,hit5,precision5,recall5
attack_flow,CO,Conti CISA Alert,5,0.2469278726022756,0.6,0.12000000000000002,0.2
attack_flow,CO,Conti PWC,3,0.0,0.0,0.0,0.0
attack_flow,CO,Conti Ransomware,14,0.0,0.0,0.0,0.0
attack_flow,CO,DFIR - BumbleBee Round 2,12,0.0,0.0,0.0,0.0
attack_flow,CO,Equifax Breach,8,0.058659840752844555,0.125,0.025,0.041666666666666664
attack_flow,CO,FIN13 Case 1,28,0.01675995450081273,0.03571428571428571,0.0071428571428571435,0.011904761904761904
attack_flow,CO,FIN13 Case 2,13,0.05006311681231609,0.15384615384615385,0.03076923076923077,0.05128205128205128
attack_flow,CO,Gootloader,28,0.014954982332380318,0.07142857142857142,0.014285714285714287,0.02976190476190476
attack_flow,CO,Hancitor DLL,18,0.05214208066919516,0.1111111111111111,0.022222222222222223,0.037037037037037035
attack_flow,CO,Ivanti Vulnerabilities,5,0.15885423368645563,0.4,0.12000000000000002,0.2
attack_flow,CO,JP Morgan Breach,8,0.059299428192324054,0.25,0.05,0.125
attack_flow,CO,MITRE NERVE,7,0.0,0.0,0.0,0.0
attack_flow,CO,Maastricht University Ransomware,10,0.0,0.0,0.0,0.0
attack_flow,CO,Mac Malware Steals Crypto,3,0.0,0.0,0.0,0.0
attack_flow,CO,Marriott Breach,4,0.20139807813529764,0.75,0.15000000000000002,0.4583333333333333
attack_flow,CO,Muddy Water,8,0.0,0.0,0.0,0.0
attack_flow,CO,NotPetya,13,0.06218687584632233,0.3076923076923077,0.06153846153846154,0.10256410256410256
attack_flow,CO,OceanLotus,20,0.0,0.0,0.0,0.0
attack_flow,CO,REvil,18,0.03662030533558726,0.16666666666666666,0.03333333333333334,0.05555555555555555
attack_flow,CO,Ragnar Locker,12,0.11629662606087506,0.4166666666666667,0.08333333333333333,0.2222222222222222
attack_flow,CO,SWIFT Heist,4,0.0,0.0,0.0,0.0
attack_flow,CO,SearchAwesome Adware,10,0.0,0.0,0.0,0.0
attack_flow,CO,Shamoon,18,0.08073942078620454,0.2222222222222222,0.06666666666666668,0.16666666666666666
attack_flow,CO,SolarWinds,16,0.0806046609107864,0.3125,0.07500000000000001,0.125
attack_flow,CO,Sony Malware,12,0.0,0.0,0.0,0.0
attack_flow,CO,Target Breach,8,0.0,0.0,0.0,0.0
attack_flow,CO,Tesla Kubernetes Breach,3,0.0,0.0,0.0,0.0
attack_flow,CO,Uber Breach,6,0.0,0.0,0.0,0.0
attack_flow,CO,WhisperGate,16,0.06572021311753684,0.25,0.05,0.13541666666666666
attack_flow,K,Black Basta Ransomware,24,0.11130775302180433,0.2916666666666667,0.06666666666666667,0.1111111111111111
attack_flow,K,CISA AA22-138B VMWare Workspace (Alt),8,0.3440103875307062,0.875,0.2,0.375
attack_flow,K,CISA AA22-138B VMWare Workspace (TA1),8,0.3145487043928681,0.75,0.15000000000000002,0.3333333333333333
attack_flow,K,CISA AA22-138B VMWare Workspace (TA2),10,0.5836655726970267,1.0,0.22000000000000003,0.4833333333333333
attack_flow,K,CISA Iranian APT,21,0.2988439195052378,0.7619047619047619,0.18095238095238098,0.35714285714285715
attack_flow,K,Cobalt Kitty Campaign,11,0.177735536991307,0.45454545454545453,0.10909090909090911,0.2727272727272727
attack_flow,K,Conti CISA Alert,5,0.04692787260227564,0.2,0.04,0.06666666666666667
attack_flow,K,Conti PWC,3,0.07821312100379274,0.3333333333333333,0.06666666666666667,0.1111111111111111
attack_flow,K,Conti Ransomware,14,0.24617747233253154,0.5714285714285714,0.1285714285714286,0.2976190476190476
attack_flow,K,DFIR - BumbleBee Round 2,12,0.06106905170648258,0.25,0.05000000000000001,0.08333333333333333
attack_flow,K,Equifax Breach,8,0.025263418312568446,0.125,0.025,0.041666666666666664
attack_flow,K,FIN13 Case 1,28,0.10230273252634856,0.25,0.05714285714285715,0.10119047619047618
