held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,K,text_length,ge40,218,10,1,0.14550728600693136,0.37205260273089263,0.08770534195267958,0.15431197662817336
ctid,K,text_length,lt40,45,9,1,0.1579231972840258,0.44753086419753085,0.10061728395061728,0.1862139917695473
ctid,K,target_size,1,8,8,0,0.0,0.0,0.0,0.0
ctid,K,target_size,2,24,10,1,0.13599165112105424,0.27166666666666667,0.06633333333333333,0.16583333333333333
ctid,K,target_size,3,231,10,1,0.144103669457452,0.38220022427426076,0.0885179863859377,0.14752997730989617
ctid,T,transition_visibility,all_seen,17,8,0,0.3933777519855295,0.6979166666666666,0.18958333333333333,0.5225694444444444
ctid,T,transition_visibility,all_unseen,117,10,1,0.03164918701476112,0.10490601503759397,0.025838345864661653,0.04711152882205514
ctid,T,transition_visibility,mixed,129,10,1,0.21325915332598133,0.6139449443745109,0.13398237675637056,0.2273936892570793
ctid,T,target_label_visibility,all_seen,207,10,1,0.1615785190158018,0.4381366459627329,0.10146798853320593,0.18771526782396347
ctid,T,target_label_visibility,mixed,56,9,1,0.15027135549578932,0.40737109658678283,0.09135076252723312,0.15225127087872187
ctid,T,text_length,ge40,218,10,1,0.15274269368833415,0.4158986353597395,0.09427519761624564,0.17323216617497703
ctid,T,text_length,lt40,45,9,1,0.20938406877015608,0.5493827160493827,0.1380246913580247,0.248559670781893
ctid,T,target_size,1,8,8,0,0.1875,0.25,0.05,0.25
ctid,T,target_size,2,24,10,1,0.19914966866913675,0.4066666666666666,0.096,0.24
ctid,T,target_size,3,231,10,1,0.14819456361210198,0.42587164829761176,0.09736804966500708,0.16228008277501177
attack_flow,A0,transition_visibility,all_seen,24,13,1,0.21802607193797904,0.40384615384615385,0.12051282051282051,0.27457264957264954
attack_flow,A0,transition_visibility,all_unseen,261,35,1,0.17393428608303696,0.4267182024324881,0.09838445681302825,0.20400828007970864
attack_flow,A0,transition_visibility,mixed,127,32,1,0.23176764081877038,0.5946199633699634,0.13808665293040293,0.25375219398656895
attack_flow,A0,target_label_visibility,all_seen,231,33,1,0.23945728591865284,0.5332703578386957,0.12946123516437644,0.3129764885919105
attack_flow,A0,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,A0,target_label_visibility,mixed,172,32,1,0.1457190207317833,0.4436440295815296,0.09192325036075037,0.16264054232804231
attack_flow,A0,text_length,ge40,379,35,1,0.19004754690933645,0.4493238638848988,0.10697178105692039,0.21720126176671953
attack_flow,A0,text_length,lt40,33,18,1,0.23795478228405598,0.5907407407407407,0.13,0.24290123456790122
attack_flow,A0,target_size,1,37,34,1,0.1453607346521984,0.27941176470588236,0.05588235294117647,0.27941176470588236
attack_flow,A0,target_size,2,84,34,1,0.1965241587479165,0.44947209653092,0.09969834087481147,0.24924585218702866
attack_flow,A0,target_size,3,291,35,1,0.1922382467434459,0.47469980066618717,0.1185924938740065,0.19765415645667744
attack_flow,CO,transition_visibility,all_seen,24,13,1,0.057798673919891436,0.19230769230769232,0.038461538461538464,0.12179487179487179
attack_flow,CO,transition_visibility,all_unseen,261,35,1,0.05580789725080163,0.1679847090351292,0.03664456085464489,0.07969104813642629
attack_flow,CO,transition_visibility,mixed,127,32,1,0.04534266997268903,0.14184695512820514,0.030893429487179488,0.05254073183760684
attack_flow,CO,target_label_visibility,all_seen,231,33,1,0.06038996259582416,0.18220951205140928,0.04004459601297546,0.10074422113289043
