held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
stockpile,HM+T,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,HM+T,text_length,ge40,42,21,1,0.1431675684008098,0.30396825396825394,0.0607936507936508,0.2
stockpile,HM+T,text_length,lt40,67,17,1,0.10934489444725108,0.3539808230984702,0.07197263520792933,0.1698682036917331
stockpile,HM+T,target_size,1,29,24,1,0.12621624559837907,0.20833333333333334,0.041666666666666664,0.20833333333333334
stockpile,HM+T,target_size,2,40,20,1,0.17944547412126063,0.5183333333333333,0.10366666666666668,0.25916666666666666
stockpile,HM+T,target_size,3,40,12,1,0.12937354150970612,0.5478896103896104,0.11291125541125542,0.1881854256854257
stockpile,HM+ST,transition_visibility,all_seen,31,20,1,0.07340025794809028,0.2,0.04,0.1392857142857143
stockpile,HM+ST,transition_visibility,all_unseen,36,17,1,0.06261716674743942,0.18382352941176472,0.03676470588235294,0.11519607843137254
stockpile,HM+ST,transition_visibility,mixed,42,17,1,0.08476402233452116,0.3303921568627451,0.06607843137254901,0.13333333333333333
stockpile,HM+ST,target_label_visibility,all_seen,100,27,1,0.06540904782066834,0.20642135642135642,0.041284271284271284,0.1148027898027898
stockpile,HM+ST,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,HM+ST,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,HM+ST,text_length,ge40,42,21,1,0.0787386045209622,0.19444444444444442,0.038888888888888896,0.14682539682539683
stockpile,HM+ST,text_length,lt40,67,17,1,0.08714953287123806,0.30490196078431375,0.06098039215686275,0.14862278244631186
stockpile,HM+ST,target_size,1,29,24,1,0.10942914480843348,0.20833333333333334,0.041666666666666664,0.20833333333333334
stockpile,HM+ST,target_size,2,40,20,1,0.08646570346645062,0.2925,0.05850000000000001,0.14625
stockpile,HM+ST,target_size,3,40,12,1,0.10245558939637617,0.47222222222222227,0.09444444444444444,0.1574074074074074
